rank,scenario_id,phrase_id,english_text,priority_reason,confidence,review_flag,execution_state,final_outcome
1,polite-basics,japanese-polite-basics-5,Excuse me,"Highest-frequency opener for getting attention and opening short requests across stations, shops, and hotels.",high,politeness-review,drafted-in-phrase-source,promote
2,polite-basics,japanese-polite-basics-2,Thank you,"Essential courtesy phrase that supports the lane's polite default and works across nearly every travel exchange.",high,none,drafted-in-phrase-source,promote
3,grab-taxi,japanese-grab-taxi-1,Take me here,"Strong show-screen phrase for taxis and ride pickups where the destination phone screen does most of the work.",high,none,drafted-in-phrase-source,promote
4,asking-price,japanese-asking-price-1,How much is this,"Core purchase and confirmation phrase for shops, stations, counters, and convenience-store decisions.",high,none,drafted-in-phrase-source,promote
5,simple-problems,japanese-simple-problems-2,I do not understand,"Top repair phrase for any fast Japanese reply and a critical pressure-reduction card for first-time travelers.",high,none,drafted-in-phrase-source,promote
6,simple-problems,japanese-simple-problems-3,Can you speak a little slower,"Pairs with the repair layer and makes the Japanese lane more usable before deeper comprehension exists.",high,none,drafted-in-phrase-source,promote
7,hotel-hostel,japanese-hotel-hostel-1,I have a reservation,"High-value front-desk phrase that should be translated early because hotel check-in is a common arrival moment.",high,none,drafted-in-phrase-source,promote
8,hotel-hostel,japanese-hotel-hostel-2,I would like to check in,"Companion to reservation lookup; likely needed even when the booking name alone is not enough.",high,none,drafted-in-phrase-source,promote
9,convenience-store,japanese-convenience-store-6,Can I pay by card,"Japan-specific payment clarity matters across convenience stores, cafes, and smaller counters.",high,none,drafted-in-phrase-source,promote
10,convenience-store,japanese-convenience-store-1,A bottle of water please,"High-frequency purchase that fits convenience stores, kiosks, and stations without extra grammar.",high,none,drafted-in-phrase-source,promote
11,street-food,japanese-street-food-3,Not spicy please,"Useful food-safety comfort phrase for travelers who need a short modification request they can say or show.",medium,food-review,drafted-in-phrase-source,promote
12,directions,japanese-directions-2,Is it near here,"Compact navigation repair phrase that works well with show-screen behavior and follow-up gestures.",high,none,drafted-in-phrase-source,promote
13,directions,japanese-directions-3,How long on foot,"High-value navigation question for station-area routing where walking time matters more than full directions.",medium,none,drafted-in-phrase-source,promote
14,grab-taxi,japanese-grab-taxi-3,You can stop here,"Important ride phrase for drop-off accuracy in dense station and hotel areas.",high,none,drafted-in-phrase-source,promote
15,simple-problems,japanese-simple-problems-7,Please call for me,"Useful escalation phrase when the traveler needs staff help with transport, hotels, or bookings.",medium,none,drafted-in-phrase-source,promote
16,simple-problems,japanese-simple-problems-6,I need a doctor,"Critical safety phrase; short enough to prioritize early but must keep later expert review visibility.",medium,expert-review,drafted-in-phrase-source,native-review-only
17,convenience-store,japanese-convenience-store-7,Please give me the receipt,"Frequent transaction follow-through phrase that fits Japan's receipt-heavy retail pattern.",medium,none,drafted-in-phrase-source,promote
18,convenience-store,japanese-convenience-store-2,Do you have a bag,"Common checkout question that matches convenience-store and small retail use.",medium,none,drafted-in-phrase-source,promote
19,hotel-hostel,japanese-hotel-hostel-7,Please hold my luggage,"High-utility hotel phrase for arrival or departure friction that travelers often need before or after check-in.",medium,none,drafted-in-phrase-source,promote
20,asking-price,japanese-asking-price-6,Show me another one,"Better fit than bargaining language for item selection in shops and souvenir counters.",medium,none,drafted-in-phrase-source,promote
21,polite-basics,japanese-polite-basics-1,Hello,"Useful, but lower than excuse me or thanks because short service interactions often start with attention-getting rather than greetings.",medium,none,drafted-in-phrase-source,promote
22,street-food,japanese-street-food-5,Do you have bottled water,"Supports restaurant and kiosk use where water access is uncertain or the traveler wants sealed water.",medium,none,drafted-in-phrase-source,promote
23,directions,japanese-directions-1,Excuse me which exit should I take,"Rewritten from city-center wording toward station-exit guidance for Japan and drafted in phrase-source.csv.",medium,none,rewritten-and-drafted,promote
24,asking-price,japanese-asking-price-4,Is this tax-free,"Rewritten from bargaining toward a stronger Japan-fit tax-free shopping check and now drafted in phrase-source.csv.",medium,none,rewritten-and-drafted,promote
25,coffee-shop,japanese-coffee-shop-7,"Could I pay, please?","Strong utility closeout phrase for cafe counters once the order is ready.",high,none,drafted-in-phrase-source,promote
26,simple-problems,japanese-simple-problems-5,The Wi Fi is not working,"High-value hotel or cafe repair phrase that removes a common digital-friction blocker.",high,none,drafted-in-phrase-source,promote
27,coffee-shop,japanese-coffee-shop-2,I would like an iced black coffee,"Common cafe variant that rounds out the existing iced coffee row without adding much risk.",medium,none,drafted-in-phrase-source,promote
28,coffee-shop,japanese-coffee-shop-3,I would like an iced latte,"Common traveler order variant that complements the stronger core cafe rows.",medium,none,drafted-in-phrase-source,promote
29,coffee-shop,japanese-coffee-shop-4,Just a little ice,"Useful customization phrase once base drink ordering is already covered.",medium,none,drafted-in-phrase-source,promote
30,grab-taxi,japanese-grab-taxi-4,Go this way,"Helpful route-confirmation line when a traveler is following map guidance during a ride.",medium,none,drafted-in-phrase-source,promote
31,grab-taxi,japanese-grab-taxi-5,Please turn on the air conditioning,"Useful ride comfort repair phrase during hot-weather travel.",medium,none,drafted-in-phrase-source,promote
32,grab-taxi,japanese-grab-taxi-6,Wait for me five minutes,"Useful short-stop ride phrase once the more common destination and payment rows exist.",medium,none,drafted-in-phrase-source,promote
33,asking-price,japanese-asking-price-7,I will take this one,"Cleaner Japan-fit purchase close than further bargaining language.",medium,none,drafted-in-phrase-source,promote
34,polite-basics,japanese-polite-basics-6,It is okay,"Useful reassurance or polite decline line in routine service interactions.",medium,none,drafted-in-phrase-source,promote
35,directions,japanese-directions-7,Thanks I understand now,"Useful closure phrase for ending a directions exchange politely.",medium,none,drafted-in-phrase-source,promote
36,asking-price,japanese-asking-price-2,How much per kilo,"Lower-frequency market row, but still straightforward enough to clear honestly once core shopping coverage exists.",low,none,later-review-after-starter-slice,later-only
37,asking-price,japanese-asking-price-3,Too expensive,"Light price-reaction phrase that stays softer than bargaining-heavy language.",low,none,later-review-after-starter-slice,later-only
38,small-talk,japanese-small-talk-1,I am from the United States,"Low-priority social answer that can be cleared once the utility queue narrows to cleanup work.",low,none,deferred-after-starter-slice,retire
39,small-talk,japanese-small-talk-2,I am from England,"Low-priority social answer that is easy to clear after higher-value service rows.",low,none,deferred-after-starter-slice,retire
40,small-talk,japanese-small-talk-3,This is my first time,"Low-pressure conversation line that can be cleared once the unresolved queue is mostly tail work.",low,none,later-review-after-starter-slice,later-only
41,small-talk,japanese-small-talk-4,I like it here,"Low-priority positive comment cleared during the residual-tail pass.",low,none,deferred-after-starter-slice,retire
42,small-talk,japanese-small-talk-5,The food is so good,"Low-priority compliment phrase cleared once stronger travel utility rows were already covered.",low,none,later-review-after-starter-slice,later-only
43,small-talk,japanese-small-talk-6,The weather is very hot,"Low-priority weather small talk cleared once the unresolved queue narrowed to cleanup work.",low,none,deferred-after-starter-slice,retire
44,street-food,japanese-street-food-4,More herbs please,"Generic herbs wording is a weak Japan-first street-food intent and still wants a better condiment-specific rewrite.",low,rewrite-before-translation,deferred-rewrite-needed,rewrite-needed
45,grab-taxi,japanese-grab-taxi-2,Go to the city center,"Generic city-center wording remains a weak Japan-first taxi intent beside the stronger show-screen destination row.",low,rewrite-before-translation,deferred-rewrite-needed,rewrite-needed
46,asking-price,japanese-asking-price-5,What is your final price,"Final-price bargaining remains a weak Japan-first shopping intent after the tax-free rewrite replaced the stronger holdout.",low,rewrite-before-translation,deferred-rewrite-needed,rewrite-needed
47,small-talk,japanese-small-talk-7,How are you,"Direct 'How are you' small talk is a weak default for brief Japan service interactions and can stay explicitly late.",low,lower-priority-social,deferred-lower-priority,retire
