"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"repair-premium-simpler-words","understanding-repair","repair-simpler-words","Ask for simpler words","When speed is not the only problem, ask for easier wording instead of the same sentence again.","repair-premium-simpler-words","Can you use simpler words?","","","","premium","say-first","Use this after 'I don't understand' when the problem is the wording, not just the speed.","","simpler words|say it more simply|easy words","","planned","🧩","Phase 1A premium repair scaffold, not live yet","needs-translation"
"repair-premium-type-phone","understanding-repair","repair-type-phone","Move the repair to their phone","Typing often rescues names, addresses, and booking details faster than repeating them out loud.","repair-premium-type-phone","Can you type it on your phone?","","","","premium","say-first","Use this when spelling or repeating still is not enough.","","type it on your phone|type it|show me typed","","planned","📱","Phase 1A premium repair scaffold, not live yet","needs-translation"
"repair-premium-text-me","understanding-repair","repair-text-me","Ask them to send it as a message","A text message can rescue addresses, pickup details, and booking references without more confusion.","repair-premium-text-me","Can you text it to me?","","","","premium","say-first","Use this when you need the address, name, or instructions in a form you can show later.","","text it to me|send me a message|send it by text","","planned","💬","Phase 1A premium repair scaffold, not live yet","needs-translation"
"repair-premium-spell-name","understanding-repair","repair-spell-name","Ask them to spell the name","This is for hotel names, bus companies, streets, and people whose names you need exactly.","repair-premium-spell-name","Can you spell the name for me?","","","","premium","say-first","Use this when the key thing is a name you need to recognize or copy correctly.","","spell the name|spell it for me|name spelling","","planned","🔤","Phase 1A premium repair scaffold, not live yet","needs-translation"
"repair-premium-which-exit","understanding-repair","repair-which-exit","Clarify the exit or doorway","This prevents getting lost when the place is right but the exact entrance, gate, or exit is still unclear.","repair-premium-which-exit","Which exit is it?","","","","premium","say-first","Use this at stations, malls, airports, or big buildings when the destination is nearby but not solved.","","which exit|which gate|which entrance","","planned","🚪","Phase 1A premium repair scaffold, not live yet","needs-translation"
"repair-premium-time-exact","understanding-repair","repair-time-exact","Ask for the exact time","This fixes vague timing before it becomes a missed ride, check-in, or pickup.","repair-premium-time-exact","What time exactly?","","","","premium","say-first","Use this when 'later' or 'around then' is not precise enough for the situation.","","what time exactly|exact time|which time exactly","","planned","🕒","Phase 1A premium repair scaffold, not live yet","needs-translation"
"money-premium-total-wrong","money-numbers-prices","money-total-wrong","Challenge a wrong total","Use this when the number in front of you does not match what you expected to pay.","money-premium-total-wrong","This total is wrong.","","","","premium","say-first","Use this at the register, on a receipt, or on a payment screen before the charge goes through.","","wrong total|total is wrong|this total is wrong","","planned","🧾","Phase 1A premium billing scaffold, not live yet","needs-translation"
"money-premium-price-changed","money-numbers-prices","money-price-changed","Ask why the price changed","This is for the moment when the quoted amount and the final amount do not match.","money-premium-price-changed","Why is the price different now?","","","","premium","say-first","Use this when the price changed after you already understood the earlier number.","","price changed|different price now|why is it different","","planned","🏷️","Phase 1A premium billing scaffold, not live yet","needs-translation"
"money-premium-what-fee","money-numbers-prices","money-what-fee","Ask what the extra fee is for","This keeps the conversation focused on the exact charge instead of broad disagreement.","money-premium-what-fee","What is this fee for?","","","","premium","say-first","Use this when you see an added fee, service charge, or extra line that was not clear before.","","what fee is this|extra fee|what is this charge","","planned","➕","Phase 1A premium billing scaffold, not live yet","needs-translation"
"money-premium-write-total","money-numbers-prices","money-write-total","Ask them to write the total down","Written numbers lower the chance of agreeing to the wrong amount by mistake.","money-premium-write-total","Please write the total down.","","","","premium","say-first","Use this when speech or noise is making the amount hard to confirm safely.","","write the total down|write total|show total in writing","","planned","✍️","Phase 1A premium billing scaffold, not live yet","needs-translation"
"money-premium-service-included","money-numbers-prices","money-service-included","Check whether service is already included","This prevents tipping and fee confusion from getting worse after the first number looks settled.","money-premium-service-included","Is service already included?","","","","premium","say-first","Use this before you pay when you are not sure whether service or another charge is already built in.","","service included|is service included|already included","","planned","🧮","Phase 1A premium billing scaffold, not live yet","needs-translation"
"money-premium-split-payment","money-numbers-prices","money-split-payment","Ask to split the payment","This is a cost-control follow-up for shared rides, meals, and checkout moments.","money-premium-split-payment","Can we split the payment?","","","","premium","say-first","Use this when two people need separate payment instead of one combined total.","","split the payment|pay separately|split bill","","planned","💳","Phase 1A premium billing scaffold, not live yet","needs-translation"
"transport-premium-wrong-car","transport","transport-wrong-car","Say that this is not your car","This helps you stop the interaction early before a wrong pickup turns into a bigger mistake.","transport-premium-wrong-car","This is not my car.","","","","premium","say-first","Use this when the plate, driver, or app details do not match the ride you expected.","","not my car|wrong car|wrong driver","","planned","🚘","Phase 1A premium transport scaffold, not live yet","needs-translation"
"transport-premium-wrong-pickup-point","transport","transport-wrong-pickup-point","Confirm the pickup point","Pickup confusion is one of the fastest ways for a ride to go sideways in a crowded area.","transport-premium-wrong-pickup-point","Is this the right pickup point?","","","","premium","say-first","Use this when the driver and rider are nearby but not clearly in the same place yet.","","right pickup point|pickup point|is this where you pick up","","planned","📍","Phase 1A premium transport scaffold, not live yet","needs-translation"
"transport-premium-wait-here","transport","transport-wait-here","Keep the driver at the pickup","This buys you a little time when the car arrived but you are still crossing, walking, or exiting the building.","transport-premium-wait-here","Please wait here, I am coming.","","","","premium","say-first","Use this when the ride is about to leave or circle away before you reach it.","","wait here|i am coming|please wait for me here","","planned","⏳","Phase 1A premium transport scaffold, not live yet","needs-translation"
"transport-premium-route-wrong","transport","transport-route-wrong","Say the route is wrong","This is the direct premium recovery sentence for when the car is heading the wrong way.","transport-premium-route-wrong","This route is wrong.","","","","premium","say-first","Use this as soon as you realize the driver is not following the correct route or destination.","","route is wrong|wrong route|this is the wrong way","","planned","🗺️","Phase 1A premium transport scaffold, not live yet","needs-translation"
"transport-premium-turn-around","transport","transport-turn-around","Tell the driver to turn around","When a wrong turn already happened, you need a correction sentence, not just a complaint.","transport-premium-turn-around","Please turn around.","","","","premium","say-first","Use this when the driver needs to reverse direction instead of continuing ahead.","","turn around|go back|please go back","","planned","↩️","Phase 1A premium transport scaffold, not live yet","needs-translation"
"transport-premium-luggage-trunk","transport","transport-luggage-trunk","Stop the car before your luggage leaves with it","This is the recovery line for the moment right after arrival when the trunk still matters.","transport-premium-luggage-trunk","My luggage is in the trunk.","","","","premium","say-first","Use this before the driver pulls away if your bag is still in the trunk or back of the vehicle.","","luggage in the trunk|my bag is in the trunk|bag in trunk","","planned","🧳","Phase 1A premium transport scaffold, not live yet","needs-translation"
"hotel-premium-booking-wrong","hotel-accommodation","hotel-booking-wrong","Flag a booking problem early","This is the opening sentence for mismatches before you start explaining the details.","hotel-premium-booking-wrong","I think there is a problem with my booking.","","","","premium","say-first","Use this when the desk cannot find the booking or the reservation details do not match.","","problem with my booking|booking problem|reservation problem","","planned","🛎️","Phase 1A premium hotel scaffold, not live yet","needs-translation"
"hotel-premium-different-room","hotel-accommodation","hotel-different-room","Say that you booked a different room","This keeps the dispute focused on the room type instead of a broad complaint.","hotel-premium-different-room","I booked a different room.","","","","premium","say-first","Use this when the bed type, room type, or booking details do not match what you reserved.","","different room|booked another room|wrong room type","","planned","🛏️","Phase 1A premium hotel scaffold, not live yet","needs-translation"
"hotel-premium-room-not-ready","hotel-accommodation","hotel-room-not-ready","Push on a room that still is not ready","This covers the recovery moment when check-in stalled and you need a clear next step.","hotel-premium-room-not-ready","The room is not ready yet.","","","","premium","say-first","Use this when you were told to wait but the room still is not available when it should be.","","room not ready|not ready yet|still not ready","","planned","🕓","Phase 1A premium hotel scaffold, not live yet","needs-translation"
"hotel-premium-no-hot-water","hotel-accommodation","hotel-no-hot-water","Report that there is no hot water","This is a common room-recovery problem and a believable premium follow-up beyond basic check-in.","hotel-premium-no-hot-water","There is no hot water.","","","","premium","say-first","Use this when the shower or sink water is cold and you need the hotel to fix it.","","no hot water|hot water not working|cold shower","","planned","🚿","Phase 1A premium hotel scaffold, not live yet","needs-translation"
"hotel-premium-too-noisy","hotel-accommodation","hotel-too-noisy","Say the room is too noisy","Noise is a real hotel failure and often needs a room move or staff action.","hotel-premium-too-noisy","The room is too noisy.","","","","premium","say-first","Use this when outside noise, neighbors, or hotel noise is making the room unusable.","","room too noisy|too noisy|noise problem","","planned","🔊","Phase 1A premium hotel scaffold, not live yet","needs-translation"
"hotel-premium-late-checkout","hotel-accommodation","hotel-late-checkout","Ask for a later checkout","This is a practical hotel recovery sentence when timing on the last day gets tighter than expected.","hotel-premium-late-checkout","Can I check out later?","","","","premium","say-first","Use this when your ride, flight, or day plan makes the normal checkout time too early.","","late checkout|check out later|later checkout","","planned","🧭","Phase 1A premium hotel scaffold, not live yet","needs-translation"
